VisitID,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal,FishCovLW_FNT,FishCovTVeg_FNT,FishCovUcut_FNT,FishCovArt_FNT,FishCovAqVeg_FNT,FishCovNone_FNT,FishCovTotal_FNT,FishCovLW_FT,FishCovTVeg_FT,FishCovUcut_FT,FishCovArt_FT,FishCovAqVeg_FT,FishCovNone_FT,FishCovTotal_FT,FishCovLW_SlowPool,FishCovTVeg_SlowPool,FishCovUcut_SlowPool,FishCovArt_SlowPool,FishCovAqVeg_SlowPool,FishCovNone_SlowPool,FishCovTotal_SlowPool,FishCovLW_SSC,FishCovTVeg_SSC,FishCovUcut_SSC,FishCovArt_SSC,FishCovAqVeg_SSC,FishCovNone_SSC,FishCovTotal_SSC,Valid,,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,0.291191163,40.58284111,12.64372345,0,0,61.11213524,53.51775572,0,0,0,0,0,0,0,0.291191163,36.94619948,10.42953957,0,0,57.83110806,47.66693022,0,3.636641625,2.214183875,0,0,3.281027188,5.850825501,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,4.056888457,5.136104763,2.131662663,0,0,88.67534412,11.32465588,0,0,0,0,0,0,0,3.369475156,4.27697434,1.900928251,0,0,60.73193121,9.547377748,0.687413301,0.859130422,0.230734412,0,0,27.94341291,1.777278135,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,0,52.15129182,3.064653031,0,0,44.78405515,55.21594485,0,11.47803495,0.633322292,0,0,11.64029894,12.11135724,0,8.744741636,0.055047201,0,0,8.414106492,8.799788837,0,31.92851524,2.376283538,0,0,24.72964972,34.30479877,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,7.225249303,4.777824177,1.869594267,0.433778208,0,85.69355404,14.30644596,0.04626923,0.04626923,0,0,0,4.534384552,0.09253846,0.836437436,0.615581205,0.12130222,0.056358261,0,27.21926938,1.629679122,6.342542636,4.115973742,1.748292047,0.377419948,0,53.93990011,12.58422837,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,7.133245576,54.77278046,2.746745649,0,0,35.34722832,64.65277168,0.143886207,0.863317244,0.086331724,0,0,1.784188972,1.093535176,3.168147579,34.85907562,1.061083077,0,0,27.05364195,39.08830627,3.821211789,19.0503876,1.599330847,0,0,6.509397397,24.47093023,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,3.443904449,3.654729931,1.591394182,0,0,92.03245655,8.690028563,0,0,0,0,0,0,0,0.332253343,1.34993108,0.317574001,0,0,23.8852084,1.999758423,3.111651106,2.304798852,1.273820182,0,0,68.14724816,6.69027014,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19,5.378099793,11.23048255,0,0,0,85.88592304,16.60858234,0,0,0,0,0,0,0,5.378099793,11.23048255,0,0,0,85.88592304,16.60858234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20,16.24861374,17.91696482,4.942542521,0,0,61.01307234,39.10812108,8.818078661,6.185429954,2.065064653,0,0,24.01668394,17.06857327,6.805947376,11.31766949,2.67096625,0,0,36.1593941,20.79458311,0.624587699,0.413865377,0.206511618,0,0,0.836994302,1.244964694,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,5.414917152,46.99760712,1.958756603,0,0,45.62871913,54.37128087,0,11.63370807,0.285295047,0,0,6.847081132,11.91900312,3.295521242,28.51652445,1.191205021,0,0,31.49401779,33.00325071,2.11939591,6.847374599,0.482256535,0,0,7.287620209,9.449027044,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
23,0,35,5,0,0,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,65,40,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24,23.0204794,13.04165697,0,0,0,69.30882011,36.06213637,0,0,0,0,0,0,0,20.10204794,10.17302769,0,0,0,51.85873865,30.27507563,2.918431464,2.868629276,0,0,0,17.45008145,5.78706074,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
25,5.201273398,10.78787141,8.234291281,0,0,76.0099332,24.22343609,0,0,0,0,0,0,0,3.792185652,8.098862292,5.906687078,0,0,62.74319811,17.79773502,1.409087746,2.689009116,2.327604203,0,0,13.26673509,6.425701065,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,5.146403922,2.859654602,0.538615284,0,0,91.45532619,8.544673808,0.182973674,1.650135848,0.073358109,0,0,16.39089972,1.906467631,4.908872303,0.930108366,0.410699229,0,0,69.99715811,6.249679898,0.054557946,0.279410387,0.054557946,0,0,5.067268355,0.38852628,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,1.339013901,1.278357836,0.909560956,1.95359536,0,94.68426843,5.480528053,0,0,0,0,0,0,0,0.67739774,0.646474647,0.573687369,0.225262526,0,58.63625363,2.122822282,0.661616162,0.631883188,0.335873587,1.728332833,0,36.0480148,3.357705771,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,1.628411633,25.50186428,1.378399205,0,0,71.49132488,28.50867512,0.30636341,6.463957246,0.083718618,0,0,7.645090728,6.854039274,1.322048223,19.03790703,1.294680587,0,0,63.84623415,21.65463584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,12.52784315,5,5.474084095,0,0,74.77599466,23.00192725,0,0,0,0,0,0,0,4.572948131,1.946518911,1.946518911,0,0,30.46439227,8.465985953,7.954895021,3.053481089,3.527565184,0,0,44.31160239,14.53594129,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,17.33435255,14.25106593,0.574495915,0,0,68.34033192,32.15991439,8.967113421,9.508501928,0.300463742,0,0,34.34865549,18.77607909,8.261580798,4.636905672,0.231768843,0,0,32.13208989,13.13025531,0.105658326,0.105658326,0.04226333,0,0,1.85958654,0.253579983,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,0,14.49913363,14.12526756,0,0,73.94312506,28.62440118,0,6.420548364,3.977270411,0,0,26.43685659,10.39781877,0,0,0,0,0,0,0,0,8.078585261,10.14799715,0,0,47.50626847,18.22658241,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,5.292015897,2.112107976,3.144374926,0,0,89.38035651,10.5484988,2.669145713,0.804981702,0.259394798,0,0,26.5147759,3.733522213,2.412151261,1.307126274,2.134930941,0,0,52.30075158,5.854208476,0.210718923,0,0.750049187,0,0,10.56482902,0.960768111,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,6.160457338,0.552072801,1.77090301,0,0,91.31150346,8.483433149,1.04126157,0.14661274,0.179979778,0,0,16.63012367,1.367854087,3.034028156,0.202263358,1.529828109,0,0,64.60570117,4.766119624,2.085167613,0.203196702,0.061095123,0,0,10.07567862,2.349459438,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,4.53137742,2.069831748,5.361578479,0,0,88.07100342,11.96278765,0,0,0,0,0,0,0,1.149880489,1.714392839,1.899564137,0,0,46.61269157,4.763837465,3.38149693,0.355438909,3.462014341,0,0,41.45831185,7.19895018,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,17.53973129,35.30903218,0,0,0,50.83178107,52.84876347,0,0,0,0,0,0,0,2.972812302,11.37702124,0,0,0,21.56507609,14.34983354,14.56691899,23.93201094,0,0,0,29.26670498,38.49892993,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,1.629770208,34.48377121,4.367490346,0,0,59.51896824,40.48103176,0,0,0,0,0,0,0,1.153907366,26.86315592,3.32731458,0,0,44.78466365,31.34437786,0.475862843,7.620615294,1.040175766,0,0,14.73430458,9.136653903,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38,10.85465097,40.17596427,10.01294382,0,0,40.5286753,61.04355906,0,0,0,0,0,0,0,7.209220436,32.11920055,6.854487953,0,0,25.24570441,46.18290894,3.645430537,8.056763718,3.15845587,0,0,15.28297088,14.86065013,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39,4.706523119,7.922707767,4.543864104,0,0,81.5703984,17.17309499,0,0,0,0,0,0,0,2.931518676,2.090749816,2.012772008,0,0,54.9564279,7.0350405,1.775004444,5.831957951,2.531092096,0,0,26.61397049,10.13805449,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,21.26829961,5.497844012,9.281771907,0,0,71.66316099,36.04791553,7.196110807,1.314490345,1.055487779,0,0,11.37557318,9.566088932,4.824155484,0.964831097,1.929662193,0,0,14.47246645,7.718648774,9.248033318,3.21852257,6.296621934,0,0,45.81512137,18.76317782,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41,0,30,15,0,0,45,45,0,0,0,0,0,0,0,0,30,15,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
42,5.905278316,6.644951697,11.35893954,0,0,81.20689119,23.90916955,0,0,0,0,0,0,0,1.305591966,3.997521549,7.202203272,0,0,53.43990759,12.50531679,4.599686351,2.647430149,4.156736266,0,0,27.7669836,11.40385276,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
44,2.664672925,22.00598122,7.335327075,0,0,57.99401878,32.00598122,2.664672925,22.00598122,7.335327075,0,0,57.99401878,32.00598122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45,1.451640061,1.313721681,1.269921964,0,0,95.96471629,4.035283705,0.121415234,0.121415234,0.121415234,0,0,11.77727768,0.364245702,0.861919719,1.016406005,0.702684325,0,0,67.68742242,2.581010049,0.468305109,0.175900441,0.445822405,0,0,16.50001619,1.090027955,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
46,0.261599509,0.9514191,0.839797956,0.06687431,0,97.88030912,2.119690875,0.157403782,0.461587525,0.399373608,0.06687431,0,45.07351326,1.085239225,0.055614827,0.489831575,0.391843448,0,0,48.04586766,0.93728985,0.0485809,0,0.0485809,0,0,4.760928205,0.0971618,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
48,0,3.42954206,0.618539174,0,0,96.57045794,4.048081234,0,2.313809381,0.115690469,0,0,9.255237526,2.429499851,0,0.8473578,0.384511505,0,0,60.74610746,1.231869305,0,0.268374878,0.1183372,0,0,26.56911296,0.386712078,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,0,3.749899749,1.89774326,0.236902682,0,95.51374722,5.884545691,0,0.043899127,0,0.087798254,0,4.302114424,0.13169738,0,1.805515682,0.675286139,0.113352731,0,60.31087706,2.594154552,0,1.900484941,1.222457121,0.035751697,0,30.90075573,3.158693759,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
50,0,35.42730577,11.83284871,0.082553385,0,60.04566106,47.34270786,0,14.11176738,6.530667878,0,0,19.13312131,20.64243526,0,14.18196274,4.283098592,0.082553385,0,37.85529305,18.54761472,0,7.133575647,1.019082235,0,0,3.057246706,8.152657883,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
51,3.073927914,40.1455538,4.298243883,0,0,54.01506183,47.5177256,0,0,0,0,0,0,0,2.570310445,29.44850039,2.737338858,0,0,40.15292028,34.7561497,0.503617469,10.69705341,1.560905025,0,0,13.86214154,12.7615759,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
52,2.541380284,25.69508521,5.084596554,0,0,68.85156765,33.32106205,0,0,0,0,0,0,0,1.642265323,18.11081819,3.632755861,0,0,56.12936635,23.38583937,0.899114961,7.584267018,1.451840693,0,0,12.7222013,9.935222672,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,0,1,1.123412305,2.32454756,0,96.24575517,4.447959864,0,0.213376107,0.306926616,0.213376107,0,20.81730798,0.73367883,0,0.54992597,0.579787766,1.176398516,0,53.04246533,2.306112252,0,0.236697923,0.236697923,0.934772936,0,22.38598186,1.408168782,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57,0,2.760524197,1.246813921,1.904442489,0,95.12909805,5.911780606,0,0.545468761,0,0.109093752,0,10.36390645,0.654562513,0,1.330239286,0.465493445,0.277804447,0,47.25865183,2.073537177,0,0.88481615,0.781320476,1.51754429,0,37.50653976,3.183680916,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,9.29540015,9.748728497,7.690089753,0,0,73.84237098,26.7342184,1.280104712,0.798055348,0.798055348,0,0,13.08489155,2.876215408,3.890949888,4.742707554,2.314435303,0,0,32.06237846,10.94809274,4.12434555,4.207965595,4.577599102,0,0,28.69510097,12.90991025,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,3.458326452,7.112303881,1.352380952,0.048224608,0,86.86468483,11.97123589,0.102835122,2.811478117,0.392981007,0,0,25.23969171,3.307294247,0.328186072,3.787530966,0.731764382,0,0,45.5789155,4.84748142,3.027305257,0.513294798,0.227635563,0.048224608,0,16.04607762,3.816460226,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
60,3.38204927,33.90193002,2.853820807,0,0,61.20618233,40.13780009,0.749286051,19.73513259,1.734222501,0,0,26.92822846,22.21864114,0.705727287,7.377216382,0.438443433,0,0,19.63342225,8.521387102,1.927035933,6.789581045,0.681154872,0,0,14.64453162,9.39777185,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
61,3.218880134,38.43561183,4.708876065,0.517846125,0,58.2972471,46.88121416,0,0,0,0,0,0,0,2.927756199,36.84409851,4.281858486,0.517846125,0,46.24407165,44.57155932,0.291123935,1.591513318,0.42701758,0,0,12.05317545,2.309654833,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
63,2.918902086,8.928600027,3.208594688,0,0,85.63032163,15.0560968,0.203345345,0.849904355,0.525601673,0,0,25.93126918,1.578851372,0.537523911,2.92944526,1.360736688,0,0,38.96427777,4.827705859,2.178032831,5.149250411,1.322256328,0,0,20.73477468,8.64953957,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,5.997486863,11.30454649,15.53661183,0,0,67.76416495,32.83864519,0,1.792609093,1.60954992,0,0,7.93837103,3.402159013,2.058430432,6.725639708,9.456962531,0,0,46.80403244,18.24103267,3.939056431,2.786297692,4.470099383,0,0,13.02176148,11.19545351,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,0,5,1,0,0,94,6,0,0,0,0,0,0,0,0,5,1,0,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
66,0,0.914065357,0,0,0,98.83460648,0.914065357,0,0,0,0,0,0,0,0,0.914065357,0,0,0,90.32707687,0.914065357,0,0,0,0,0,8.50752961,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
68,4.595895817,37.4564743,5.677097358,1.461302753,0,50.80922977,49.19077023,0.440410418,4.404104183,1.101026046,0,0,16.07498027,5.945540647,0.84525744,12.28771066,1.166024421,0,0,11.26858257,14.29899253,3.310227959,20.76465945,3.410046892,1.461302753,0,23.46566693,28.94623706,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
69,4.157163413,16.24938256,5.11607929,0,0,74.61213839,25.52262526,0.015870971,1.025921869,0.368425574,0,0,5.894809183,1.410218414,1.486802826,7.617314176,2.777956747,0,0,37.37516913,11.88207375,2.654489616,7.606146511,1.96969697,0,0,31.34216008,12.2303331,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,8.725182522,16.44167124,5.951766712,0,0,68.88137953,31.11862047,0,0,0,0,0,0,0,6.461441572,15.98892305,4.593522142,0,0,63.90114944,27.04388677,2.26374095,0.45274819,1.35824457,0,0,4.980230089,4.074733709,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
71,0,26.18995806,4.193985175,0,0,69.61605677,30.38394323,0,23.68714911,2.834680098,0,0,33.62909938,26.52182921,0,1.91571013,0.435996511,0,0,24.95291128,2.351706642,0,0.587098818,0.923308565,0,0,11.0340461,1.510407383,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
72,2.867143752,9.607091596,0.571148442,0,0,87.70483353,13.04538379,2.834172276,6.585157782,0.104776922,0,0,69.08080134,9.52410698,0.032971476,3.021933814,0.46637152,0,0,18.62403218,3.521276811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,0.033149878,0.730193268,1.76760954,0,0,97.55761765,2.530952686,0,0,0.100217586,0,0,3.240368616,0.100217586,0,0.249925338,0.291437348,0,0,40.98344639,0.541362686,0.033149878,0.48026793,1.375954606,0,0,53.33380264,1.889372413,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
76,0,23.27333538,2.085823131,0,0,76.12188409,25.35915852,0,1.748506122,0,0,0,56.53503127,1.748506122,0,21.52482926,2.085823131,0,0,19.58685282,23.61065239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
77,8.656602564,5.832884615,3.388141026,0,0,85.05038462,17.87762821,1.840192308,1.649038462,1.066025641,0,0,32.60576923,4.55525641,1.18724359,2.795128205,0.269871795,0,0,15.81448718,4.25224359,5.629166667,1.388717949,2.05224359,0,0,36.63012821,9.070128205,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,0,0,0,0,0,100,0,0,0,0,0,0,7.270386234,0,0,0,0,0,0,92.72961377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
81,7.745743598,5.098996526,0.907672074,2.051766714,0,84.44029602,15.80417891,0.279762846,0.279762846,0,0,0,5.035731233,0.559525693,7.281370942,4.743565812,0.677020587,2.051766714,0,72.32870726,14.75372406,0.184609809,0.075667867,0.230651487,0,0,7.075857534,0.490929164,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
82,3.739238473,4.013623436,2.418003657,0,0,90.43437199,10.17086557,0.068945643,0.505990415,0.505990415,0,0,21.93985792,1.080926472,0.871618451,2.183365173,0.637858862,0,0,59.11555806,3.692842486,2.798674379,1.324267848,1.27415438,0,0,9.378956022,5.397096607,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
83,19.29656998,0.980755563,0.642586763,3.94148543,0,75.37318479,24.86139773,3.089291612,0.082965802,0.105899848,0.323092825,0,4.695330094,3.601250086,11.30970026,0.568189721,0.165306583,2.649764349,0,38.81998024,14.69296092,4.897578103,0.32960004,0.371380333,0.968628256,0,31.85787446,6.567186732,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,3.499369321,4.856925889,1.290163977,0,0,90.46871058,9.646459186,0,0,0,0,0,0,0,2.487965609,4.288310552,0.081293279,0,0,52.10155224,6.857569439,1.011403712,0.568615337,1.208870698,0,0,38.36715834,2.788889747,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
85,2.196698377,27.93508674,2.064753378,0,0,67.80346151,32.19653849,0,0,0,0,0,0,0,1.555160285,21.80929731,1.576504916,0,0,65.29406827,24.94096251,0.641538093,6.125789432,0.488248461,0,0,2.509393237,7.255575985,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
86,2.80487561,2.83193668,0.44175417,0.013389752,0,93.90804379,6.091956211,0,0.038836077,0,0,0,3.844771589,0.038836077,1.95082971,2.651833339,0.334636155,0,0,73.16213458,4.937299204,0.854045901,0.141267264,0.107118014,0.013389752,0,16.90113762,1.115820931,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,5.610481519,6.728063884,1.667909912,0,0,86.13661359,14.00645531,0.025390905,0.05078181,0.025390905,0,0,2.437526897,0.101563621,2.089394157,3.662291398,0.907402094,0,0,41.81554535,6.659087649,3.495696457,3.014990676,0.735116913,0,0,41.88354134,7.245804045,0,0,0,0,0,0,0,Yes,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
